DateTime,D0,Ref,R20,R30
8/26/2012 16:05,0.0483478,-0.215628,-0.216574,-0.20931
8/26/2012 16:10,0.0477006,-0.215634,-0.216275,-0.209465
8/26/2012 16:15,0.046867,-0.215701,-0.215938,-0.209684
8/26/2012 16:20,0.0442959,-0.216271,-0.216361,-0.210335
8/26/2012 16:25,0.037481,-0.218354,-0.219155,-0.212031
8/26/2012 16:30,0.0261946,-0.222211,-0.224716,-0.214769
8/26/2012 16:35,0.0137441,-0.226575,-0.231247,-0.217658
8/26/2012 16:40,0.00412164,-0.229864,-0.236328,-0.219793
8/26/2012 16:45,-0.00201638,-0.231678,-0.239111,-0.221065
8/26/2012 16:50,-0.00761534,-0.232998,-0.240973,-0.222094
8/26/2012 16:55,-0.0129341,-0.234316,-0.242861,-0.223086
8/26/2012 17:00,-0.0169368,-0.235296,-0.244301,-0.223866
8/26/2012 17:05,-0.0198369,-0.235888,-0.245108,-0.224428
8/26/2012 17:10,-0.0225324,-0.236369,-0.245618,-0.22495
8/26/2012 17:15,-0.0253496,-0.236911,-0.246196,-0.22552
8/26/2012 17:20,-0.0288622,-0.237677,-0.247106,-0.226267
8/26/2012 17:25,-0.0346632,-0.239185,-0.249182,-0.227486
8/26/2012 17:30,-0.0430055,-0.241706,-0.252975,-0.229276
8/26/2012 17:35,-0.0519194,-0.244681,-0.257632,-0.23127
8/26/2012 17:40,-0.0591104,-0.247215,-0.261599,-0.232971
8/26/2012 17:45,-0.063973,-0.248909,-0.2641,-0.234202
8/26/2012 17:50,-0.0679165,-0.250172,-0.265781,-0.235225
8/26/2012 17:55,-0.0716892,-0.251407,-0.267428,-0.236214
8/26/2012 18:00,-0.0746766,-0.25244,-0.268748,-0.237062
8/26/2012 18:05,-0.0768359,-0.253167,-0.269553,-0.237735
8/26/2012 18:10,-0.0786817,-0.253762,-0.270135,-0.23834
8/26/2012 18:15,-0.0806014,-0.254413,-0.270846,-0.238974
8/26/2012 18:20,-0.0827774,-0.255201,-0.27181,-0.239691
8/26/2012 18:25,-0.0857996,-0.256342,-0.273398,-0.240622
8/26/2012 18:30,-0.090022,-0.258027,-0.275955,-0.241846
8/26/2012 18:35,-0.0947838,-0.260048,-0.279119,-0.243225
8/26/2012 18:40,-0.0988964,-0.261907,-0.281992,-0.244498
8/26/2012 18:45,-0.101796,-0.263296,-0.283983,-0.245527
8/26/2012 18:50,-0.103996,-0.26437,-0.285373,-0.24641
8/26/2012 18:55,-0.10618,-0.265435,-0.286794,-0.247274
8/26/2012 19:00,-0.10802,-0.266404,-0.288122,-0.248056
8/26/2012 19:05,-0.109248,-0.267127,-0.28902,-0.248703
8/26/2012 19:10,-0.110171,-0.267705,-0.28964,-0.249281
8/26/2012 19:15,-0.11119,-0.268323,-0.290332,-0.249874
8/26/2012 19:20,-0.112412,-0.269048,-0.291225,-0.250517
8/26/2012 19:25,-0.113977,-0.269938,-0.292412,-0.251255
8/26/2012 19:30,-0.116076,-0.271081,-0.294066,-0.25213
8/26/2012 19:35,-0.118482,-0.272399,-0.296055,-0.253087
8/26/2012 19:40,-0.120605,-0.273639,-0.297884,-0.253994
8/26/2012 19:45,-0.122111,-0.274625,-0.299218,-0.254776
8/26/2012 19:50,-0.123246,-0.275439,-0.300208,-0.255482
8/26/2012 19:55,-0.124481,-0.276286,-0.301269,-0.256196
8/26/2012 20:00,-0.125673,-0.27713,-0.302385,-0.256878
8/26/2012 20:05,-0.126445,-0.277798,-0.303213,-0.257459
8/26/2012 20:10,-0.126919,-0.278318,-0.303772,-0.25797
8/26/2012 20:15,-0.127457,-0.278848,-0.304349,-0.258489
8/26/2012 20:20,-0.128241,-0.279487,-0.305133,-0.259056
8/26/2012 20:25,-0.12928,-0.280252,-0.306153,-0.259678
8/26/2012 20:30,-0.130554,-0.281134,-0.307407,-0.260351
8/26/2012 20:35,-0.131843,-0.28204,-0.308727,-0.261026
8/26/2012 20:40,-0.132789,-0.28281,-0.309778,-0.261635
8/26/2012 20:45,-0.133292,-0.283385,-0.310401,-0.262162
8/26/2012 20:50,-0.133655,-0.28388,-0.310815,-0.262663
8/26/2012 20:55,-0.134237,-0.284453,-0.311365,-0.263198
8/26/2012 21:00,-0.134948,-0.285079,-0.312075,-0.263736
8/26/2012 21:05,-0.13539,-0.285592,-0.312625,-0.264203
8/26/2012 21:10,-0.135538,-0.285963,-0.31291,-0.264605
8/26/2012 21:15,-0.135718,-0.286328,-0.31317,-0.265013
8/26/2012 21:20,-0.136172,-0.286809,-0.313655,-0.265473
8/26/2012 21:25,-0.136904,-0.287419,-0.314412,-0.26599
8/26/2012 21:30,-0.13778,-0.288104,-0.315338,-0.266531
8/26/2012 21:35,-0.138515,-0.288738,-0.316193,-0.267036
8/26/2012 21:40,-0.138795,-0.289183,-0.316666,-0.26745
8/26/2012 21:45,-0.138624,-0.289428,-0.316666,-0.267786
8/26/2012 21:50,-0.138414,-0.289635,-0.316501,-0.268121
8/26/2012 21:55,-0.13856,-0.289974,-0.316582,-0.268517
8/26/2012 22:00,-0.13899,-0.290433,-0.31697,-0.26895
8/26/2012 22:05,-0.139316,-0.290855,-0.31736,-0.269352
8/26/2012 22:10,-0.13941,-0.291177,-0.317556,-0.269714
8/26/2012 22:15,-0.13954,-0.291504,-0.317729,-0.270087
8/26/2012 22:20,-0.139964,-0.291949,-0.318152,-0.270514
8/26/2012 22:25,-0.140659,-0.292515,-0.31888,-0.270981
8/26/2012 22:30,-0.141313,-0.293077,-0.31967,-0.27142
8/26/2012 22:35,-0.141399,-0.293415,-0.320067,-0.271727
8/26/2012 22:40,-0.140491,-0.293341,-0.319624,-0.271834
8/26/2012 22:45,-0.138773,-0.292914,-0.318344,-0.271799
8/26/2012 22:50,-0.13713,-0.292476,-0.316912,-0.271787
8/26/2012 22:55,-0.136306,-0.292337,-0.316079,-0.271913
8/26/2012 23:00,-0.136127,-0.292465,-0.315887,-0.272136
8/26/2012 23:05,-0.136062,-0.292652,-0.315891,-0.272374
